 ,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,9145875,255,255,255,1966.628,1550.562,0,0,4160,3120,0.247,1.230,0.813,0.707
2,2410,255,255,255,2451.053,506.454,2417,446,58,142,0.123,5.169,0.193,0.555
3,42,255,255,255,2599.119,461.190,2594,454,10,14,0.217,3.100,0.323,0.503
4,2830,255,255,255,2567.054,536.577,2536,467,72,136,0.089,3.454,0.289,0.640
5,35,255,255,255,2581.900,482.671,2578,479,8,9,0.632,1.647,0.607,0.707
6,490,255,255,255,2377.490,521.492,2356,485,47,68,0.096,6.406,0.156,0.480
7,1504,255,255,255,2311.431,576.222,2273,508,78,130,0.101,9.919,0.101,0.621
8,2333,255,255,255,2607.441,587.336,2576,540,65,95,0.129,3.051,0.328,0.704
9,30,255,255,255,2537.467,544.200,2534,541,7,6,0.857,1.203,0.831,0.857
10,21,255,255,255,2616.357,545.119,2613,542,6,8,0.466,1.538,0.650,0.592
11,98,255,255,255,2529.061,557.908,2523,548,14,20,0.297,3.667,0.273,0.632
12,100,255,255,255,2354.260,557.850,2348,550,13,16,0.428,1.764,0.567,0.697
13,11,255,255,255,2636.591,569.773,2634,567,5,5,0.571,1.757,0.569,0.629
14,197,255,255,255,2334.906,586.505,2326,569,18,36,0.138,4.244,0.236,0.617
15,10,255,255,255,2501.500,575.000,2500,573,3,4,1.000,1.551,0.645,0.909
16,41,255,255,255,2408.207,585.280,2405,579,6,12,0.397,2.285,0.438,0.683
17,12,255,255,255,2463.167,605.250,2460,604,7,3,0.539,2.805,0.356,0.686
18,16,255,255,255,2304.562,614.312,2302,611,5,6,0.559,1.785,0.560,0.667
19,21,255,255,255,2388.452,613.976,2385,611,7,6,0.423,1.873,0.534,0.646
20,17,255,255,255,2465.382,613.088,2462,611,7,5,0.396,1.751,0.571,0.642
21,32,255,255,255,2295.531,623.188,2291,619,9,8,0.406,1.898,0.527,0.646
22,27,255,255,255,2461.019,623.315,2458,619,7,7,0.544,1.457,0.686,0.675
23,10,255,255,255,2404.300,627.000,2403,624,3,7,0.419,2.989,0.335,0.625
24,36,255,255,255,2253.083,631.556,2250,625,7,12,0.253,1.980,0.505,0.562
25,22,255,255,255,2233.182,631.636,2229,628,8,8,0.415,2.897,0.345,0.629
26,73,255,255,255,2310.281,634.664,2304,628,10,15,0.480,1.814,0.551,0.679
27,125,255,255,255,2451.116,643.756,2443,628,18,33,0.145,5.683,0.176,0.529
28,65,255,255,255,2550.931,636.285,2544,629,11,15,0.343,2.535,0.395,0.667
29,58,255,255,255,2300.086,646.172,2297,640,8,15,0.408,2.575,0.388,0.674
30,392,255,255,255,2266.212,656.457,2253,641,25,29,0.341,1.325,0.755,0.776
31,154,255,255,255,2534.409,658.558,2522,645,23,31,0.172,5.588,0.179,0.547
32,255,255,255,255,2543.708,664.751,2529,646,27,40,0.125,5.413,0.185,0.547
33,10,255,255,255,2358.600,649.700,2357,648,3,4,1.000,1.288,0.776,0.909
34,2874,255,255,255,2918.077,712.570,2874,652,86,110,0.152,3.595,0.278,0.739
35,1637,255,255,255,2554.582,706.231,2523,655,62,106,0.146,6.061,0.165,0.676
36,12,255,255,255,2427.167,661.000,2426,658,3,6,0.719,1.769,0.565,0.857
37,45,255,255,255,2431.233,670.900,2425,664,11,14,0.285,3.677,0.272,0.573
38,14,255,255,255,2422.429,667.786,2419,666,7,4,0.502,2.045,0.489,0.667
39,23,255,255,255,2464.978,673.848,2462,670,6,8,0.477,2.044,0.489,0.657
40,61,255,255,255,2640.926,683.172,2636,677,10,13,0.408,1.746,0.573,0.674
41,19,255,255,255,2207.079,681.658,2205,678,4,8,0.556,2.757,0.363,0.691
42,18,255,255,255,2324.444,681.611,2322,678,5,8,0.558,2.227,0.449,0.706
43,76,255,255,255,2516.882,687.211,2509,678,14,15,0.223,1.875,0.533,0.580
44,29,255,255,255,2400.845,684.017,2398,680,7,8,0.657,2.383,0.420,0.753
45,21,255,255,255,2329.357,685.690,2327,682,5,7,0.802,1.832,0.546,0.778
46,32,255,255,255,2345.406,686.469,2341,683,9,8,0.491,1.449,0.690,0.627
47,22,255,255,255,2455.591,689.818,2452,686,7,8,0.256,1.415,0.707,0.537
48,42,255,255,255,2203.262,696.167,2198,692,12,9,0.321,1.946,0.514,0.545
49,12,255,255,255,2346.000,695.750,2344,693,4,5,0.851,2.108,0.474,0.800
50,14,255,255,255,2410.714,697.357,2407,694,7,7,0.277,3.088,0.324,0.467
51,1511,255,255,255,2784.843,738.421,2756,694,59,82,0.212,3.799,0.263,0.735
52,13,255,255,255,2508.269,698.885,2506,695,5,7,0.496,3.626,0.276,0.684
53,97,255,255,255,2384.335,706.139,2375,698,18,14,0.163,1.436,0.696,0.545
54,17,255,255,255,2719.676,700.324,2717,698,5,5,0.763,1.019,0.981,0.773
55,367,255,255,255,2226.279,717.980,2213,700,25,33,0.250,2.402,0.416,0.683
56,11,255,255,255,2513.591,702.136,2512,700,3,4,1.000,1.372,0.729,0.957
57,77,255,255,255,2510.019,709.656,2505,704,11,12,0.572,1.226,0.815,0.762
58,551,255,255,255,2729.052,737.467,2710,704,40,65,0.103,6.524,0.153,0.544
59,12,255,255,255,2893.083,706.083,2891,704,5,4,0.430,1.459,0.685,0.706
60,373,255,255,255,2829.728,722.645,2817,705,27,34,0.350,2.156,0.464,0.754
61,313,255,255,255,2521.637,723.014,2509,706,25,33,0.290,2.956,0.338,0.716
62,11,255,255,255,2410.682,711.409,2409,708,4,6,0.461,2.058,0.486,0.647
63,10,255,255,255,2363.000,712.300,2361,711,4,3,1.000,1.327,0.753,0.909
64,14,255,255,255,2780.000,714.500,2778,712,5,5,0.587,1.923,0.520,0.700
65,582,255,255,255,2610.991,739.464,2591,714,37,62,0.154,4.766,0.210,0.617
66,21,255,255,255,2370.548,719.071,2367,715,7,7,0.423,2.007,0.498,0.609
67,39,255,255,255,2391.269,718.987,2388,715,8,9,0.438,1.437,0.696,0.716
68,20,255,255,255,2239.300,720.750,2236,717,6,7,0.423,1.626,0.615,0.571
69,61,255,255,255,2260.877,728.221,2257,720,9,16,0.236,2.248,0.445,0.555
70,113,255,255,255,2763.412,736.350,2756,725,17,21,0.342,3.912,0.256,0.635
71,43,255,255,255,2231.430,733.663,2226,726,11,17,0.263,5.392,0.185,0.537
72,14,255,255,255,2377.357,729.071,2374,726,7,6,0.521,3.142,0.318,0.636
73,71,255,255,255,2383.162,737.965,2378,731,11,13,0.472,1.817,0.550,0.640
74,18,255,255,255,2755.667,734.278,2752,731,8,5,0.388,1.567,0.638,0.632
75,412,255,255,255,2966.985,752.333,2949,736,31,29,0.313,1.969,0.508,0.725
76,23,255,255,255,2242.500,743.326,2240,740,6,8,0.390,1.487,0.673,0.605
77,14,255,255,255,2432.571,745.571,2428,743,8,6,0.317,4.033,0.248,0.549
78,35,255,255,255,2857.214,752.443,2853,745,9,14,0.205,2.789,0.359,0.467
79,13,255,255,255,2421.346,748.654,2419,746,5,5,0.496,1.136,0.880,0.650
80,14,255,255,255,2698.929,750.357,2695,747,8,7,0.233,3.188,0.314,0.483
